State,1980-81,1989-90,,1999-2000,2009-10,2012-13,2013-14\1\,2014-15\1\,2015-16\1\,2016-17\1\,2017-18\1\,2018-19,2019-20,2020-21,2021-22,2022-23,hsRate
  Alabama ,"44,894","40,485",,"37,819","43,166","44,233","44,410","45,440","46,240","47,900","48,520","47,922","47,220","47,240","47,410","47,656",88
  Alaska ,"5,343","5,386",,"6,615","8,245","7,860","7,800","8,040","8,120","8,290","8,510","8,461","8,190","8,060","7,950","8,058",78
  Arizona ,"28,416","32,103",,"38,304","61,145","62,208","65,180","66,690","67,640","70,350","69,220","73,613","74,820","75,180","77,260","78,847",77
  Arkansas ,"29,577","26,475",,"27,335","28,276","28,928","29,930","30,820","30,910","31,520","31,860","32,331","32,640","32,540","31,880","31,709",88
  California ,"242,172","236,291",,"309,866","404,987","422,125","427,500","430,110","430,240","426,330","434,440","438,628","436,510","441,730","445,860","440,659",87
"
  Colorado ","35,897","32,967",,"38,924","49,321","50,968","51,480","51,840","53,950","54,940","56,720","58,031","58,860","59,990","60,210","59,952",82
  Connecticut ,"38,369","27,878",,"31,562","34,495","38,722","38,720","37,970","38,200","38,640","38,560","38,303","37,420","37,830","36,990","36,729",89
  Delaware ,"7,349","5,550",,"6,108","8,133","8,070","8,220","8,340","8,410","8,590","8,660","8,829","9,000","9,360","9,360","9,686",88
  Florida ,"88,755","88,934",,"106,708","156,130","158,029","159,790","166,710","171,170","177,220","183,380","188,713","185,640","187,320","188,430","190,683",87
"
  Georgia ","62,963","56,605",,"62,563","91,561","92,416","95,360","99,530","103,380","106,580","111,710","115,031","114,390","116,200","115,410","115,718",84
  Hawaii ,"11,472","10,325",,"10,437","10,998","10,790","11,000","10,720","10,810","10,650","11,140","10,660","11,270","11,420","11,210","11,358",86
  Idaho ,"12,679","11,971",,"16,170","17,793","17,198","18,860","17,720","17,820","18,620","18,900","19,569","19,520","20,180","20,570","21,549",80
  Illinois ,"136,795","108,119",,"111,835","139,035","139,228","136,790","138,800","138,260","137,790","138,340","136,725","133,710","137,040","137,260","133,737",87
  Indiana ,"73,381","60,012",,"57,012","64,551","66,595","67,110","65,920","65,510","67,340","69,490","71,960","66,090","67,990","70,100","70,844",88
"
  Iowa ","42,635","31,796",,"33,926","34,462","32,548","32,640","32,570","32,910","33,140","33,650","33,647","33,720","34,110","34,200","34,646",90
  Kansas ,"29,397","25,367",,"29,102","31,642","31,922","32,100","31,850","32,750","32,850","33,480","33,349","33,390","33,850","33,890","34,170",89
  Kentucky ,"41,714","38,005",,"36,830","42,664","42,888","42,870","43,270","44,310","44,580","45,760","46,130","47,040","46,720","45,750","46,427",90
  Louisiana ,"46,199","36,053",,"38,430","36,573","37,508","38,640","38,410","39,750","40,610","43,430","43,138","42,430","40,850","39,420","41,455",83
  Maine ,"15,554","13,839",,"12,211","14,069","13,170","12,530","12,180","12,210","11,880","11,750","11,679","11,670","12,050","12,550","12,671",86
"
  Maryland ","54,050","41,566",,"47,849","59,078","58,896","57,930","57,320","57,040","56,710","58,390","57,421","59,490","60,410","59,850","60,273",86
  Massachusetts ,"74,831","55,941",\5\,"52,950","64,462","66,360","65,650","65,940","68,460","68,130","68,440","68,235","67,370","68,370","68,430","66,860",90
  Michigan ,"124,372","93,807",,"97,679","110,682","104,210","102,140","101,270","99,700","100,100","101,070","100,062","98,620","99,570","101,530","99,036",81
  Minnesota ,"64,166","49,087",,"57,372","59,667","58,255","57,350","58,040","58,120","59,010","59,770","61,165","60,470","62,080","63,090","62,224",84
  Mississippi ,"28,083","25,182",,"24,232","25,478","26,502","26,690","26,720","27,660","28,220","29,810","29,133","28,550","28,450","28,710","28,847",89
"
  Missouri ","60,359","48,957",,"52,848","63,994","61,407","61,050","60,770","61,820","61,150","61,680","61,211","60,830","61,790","61,690","61,558",90
  Montana ,"11,634","9,370",,"10,903","10,075","9,369","9,480","9,380","9,290","9,330","9,420","9,272","9,160","9,280","9,550","9,543",86
  Nebraska ,"21,411","17,664",,"20,149","19,370","20,442","20,250","20,290","20,690","20,690","21,310","21,357","21,730","21,890","22,220","22,213",87
  Nevada ,"9,069","9,477",,"14,551","20,956","23,038","23,710","25,090","26,300","28,040","29,560","31,008","31,100","31,450","31,370","31,502",82
  New Hampshire ,"11,552","10,766",,"11,829","15,034","14,262","13,780","13,470","13,520","13,050","12,950","12,786","12,770","12,650","12,460","12,034",88
"
  New Jersey ","93,168","69,824",,"74,420","96,225","96,490","94,840","94,590","96,180","96,740","96,770","96,530","95,390","97,910","97,680","97,119",85
  New Mexico ,"17,915","14,884",,"18,031","18,595","19,232","18,780","19,660","19,550","19,770","19,830","19,774","19,670","19,730","19,310","19,026",---
  New York ,"198,465","143,318",,"141,731","183,826","180,351","178,880","179,580","179,120","183,080","184,090","182,799","182,890","183,770","181,070","178,129",87
  North Carolina ,"69,395","64,782",,"62,140","88,704","94,339","96,390","97,430","99,630","102,630","106,050","108,363","107,280","108,590","99,670","106,316",86
  North Dakota ,"9,924","7,690",,"8,606","7,155","6,900","6,910","6,960","6,920","6,820","6,780","6,956","6,860","7,010","7,020","7,101",85
"
  Ohio ","143,503","114,513",,"111,668","123,437","122,491","119,220","120,470","124,390","125,760","125,890","123,302","118,170","115,090","125,230","120,007",86
  Oklahoma ,"38,875","35,606",,"37,646","38,503","37,033","37,430","38,910","40,510","41,380","42,530","43,464","43,450","44,390","44,540","43,941",---
  Oregon ,"28,729","25,473",,"30,151","34,671","33,899","34,980","36,180","37,910","37,730","38,370","38,734","38,540","38,860","39,600","39,149",81
  Pennsylvania ,"144,645","110,527",,"113,959","131,182","129,777","128,900","125,040","123,140","125,150","125,740","125,515","124,150","126,190","126,870","125,585",87
  Rhode Island ,"10,719","7,825",,"8,477","9,908","9,579","9,460","9,600","9,730","9,070","9,270","9,790","9,800","10,000","10,030","9,638",83
"
  South Carolina ","38,347","32,483",,"31,617","40,438","42,246","42,410","43,650","45,160","46,750","48,830","49,279","48,860","49,630","49,290","50,247",84
  South Dakota ,"10,385","7,650",,"9,278","8,162","8,239","7,960","8,170","8,150","8,260","8,360","8,189","8,270","8,340","8,730","8,661",82
  Tennessee ,"50,648","46,094",,"41,568","62,408","61,323","60,950","62,020","63,510","63,770","64,370","64,946","62,650","62,140","61,680","61,813",90
  Texas ,"171,665","172,480",,"212,925","280,894","301,390","306,120","312,130","322,720","333,010","346,350","355,614","358,840","371,210","370,950","377,367",90
  Utah ,"19,886","21,196",,"32,501","31,481","33,186","34,130","35,320","37,220","38,970","40,580","41,795","42,840","45,040","45,570","46,110",88
"
  Vermont ","6,424","6,127",,"6,675","7,199","6,491","6,220","6,030","5,820","5,670","5,350","5,207","5,140","5,220","5,130","5,006",83
  Virginia ,"67,126","60,605",,"65,596","81,511","83,279","83,640","83,800","86,390","87,070","90,180","91,411","91,770","92,380","92,650","92,627",89
  Washington ,"50,046","45,941",,"57,597","66,046","66,066","65,590","67,250","68,510","69,260","69,890","67,572","68,700","69,110","69,530","68,308",84
  West Virginia ,"23,580","21,854",,"19,437","17,651","17,924","17,650","17,710","18,000","17,840","18,060","17,914","17,540","17,340","17,260","17,068",91
  Wisconsin ,"67,743","52,038",,"58,545","64,687","61,425","60,830","60,590","60,950","61,090","61,850","61,504","60,800","60,970","62,190","61,460",90
  Wyoming ,"6,161","5,823",,"6,462","5,695","5,489","5,610","5,570","5,720","5,680","5,810","5,828","5,840","6,020","6,070","6,208",82
