State,Gini
Utah,0.43
Idaho,0.43
Wyoming,0.43
South Dakota,0.44
Alaska,0.44
Wisconsin,0.44
Hawaii,0.44
Nebraska,0.44
New Hampshire,0.44
Iowa,0.44
Minnesota,0.44
Vermont,0.45
Maine,0.45
Kansas,0.45
Oregon,0.45
Delaware,0.45
Colorado,0.45
Maryland,0.46
North Dakota,0.46
Washington,0.46
Indiana,0.46
Arizona,0.46
Montana,0.46
Rhode Island,0.46
Missouri,0.46
Michigan,0.46
West Virginia,0.46
Ohio,0.47
Virginia,0.47
Nevada,0.47
Oklahoma,0.47
Alabama,0.47
North Carolina,0.47
Pennsylvania,0.47
South Carolina,0.47
Tennessee,0.47
Arkansas,0.48
Texas,0.48
Kentucky,0.48
New Mexico,0.48
New Jersey,0.48
Georgia,0.48
Illinois,0.48
Massachusetts,0.48
Florida,0.48
United States,0.48
California,0.49
Mississippi,0.49
Louisiana,0.50
Connecticut,0.50
District of Columbia,0.51
New York,0.51
